;ring;video;number_of_detections;scale;date;hour;num
0;ADP500;BJORN3TRI3_SCALE_2023-05-07_16_01;208.0;BJORN3TRI3_SCALE;2023-05-07;16;1
0;ADN832;BJORN3TRI3_SCALE_2023-05-08_15_03;16.0;BJORN3TRI3_SCALE;2023-05-08;15;3
0;ADN254;BJORN3TRI3_SCALE_2023-05-08_10_02;12.0;BJORN3TRI3_SCALE;2023-05-08;10;2
0;ADN181;BJORN3TRI3_SCALE_2023-05-09_20_08;11.0;BJORN3TRI3_SCALE;2023-05-09;20;8
0;ADN181;BJORN3TRI3_SCALE_2023-05-09_21_09;1.0;BJORN3TRI3_SCALE;2023-05-09;21;9
0;ADN254;BJORN3TRI3_SCALE_2023-05-09_19_07;3.0;BJORN3TRI3_SCALE;2023-05-09;19;7
0;ADE600;BJORN3TRI3_SCALE_2023-05-10_3_03;4.0;BJORN3TRI3_SCALE;2023-05-10;3;3
0;ADE600;BJORN3TRI3_SCALE_2023-05-10_4_04;17.0;BJORN3TRI3_SCALE;2023-05-10;4;4
0;ADN181;BJORN3TRI3_SCALE_2023-05-11_11_10;18.0;BJORN3TRI3_SCALE;2023-05-11;11;10
0;ADN181;BJORN3TRI3_SCALE_2023-05-11_8_08;10.0;BJORN3TRI3_SCALE;2023-05-11;8;8
0;ADN481;BJORN3TRI3_SCALE_2023-05-12_9_01;1.0;BJORN3TRI3_SCALE;2023-05-12;9;1
0;ADN181;BJORN3TRI3_SCALE_2023-05-12_9_00;15.0;BJORN3TRI3_SCALE;2023-05-12;9;0
0;ADN181;BJORN3TRI3_SCALE_2023-05-12_9_02;14.0;BJORN3TRI3_SCALE;2023-05-12;9;2
0;ADE600;BJORN3TRI3_SCALE_2023-05-13_7_01;8.0;BJORN3TRI3_SCALE;2023-05-13;7;1
0;ADN254;BJORN3TRI3_SCALE_2023-05-13_13_06;51.0;BJORN3TRI3_SCALE;2023-05-13;13;6
0;ADN254;BJORN3TRI3_SCALE_2023-05-13_9_02;15.0;BJORN3TRI3_SCALE;2023-05-13;9;2
0;ADN254;BJORN3TRI3_SCALE_2023-05-13_12_05;24.0;BJORN3TRI3_SCALE;2023-05-13;12;5
0;ADN254;BJORN3TRI3_SCALE_2023-05-13_11_03;19.0;BJORN3TRI3_SCALE;2023-05-13;11;3
0;ADN181;BJORN3TRI3_SCALE_2023-05-14_14_04;3.0;BJORN3TRI3_SCALE;2023-05-14;14;4
0;ADN181;BJORN3TRI3_SCALE_2023-05-14_10_02;6.0;BJORN3TRI3_SCALE;2023-05-14;10;2
0;ADN770;BJORN3TRI3_SCALE_2023-05-15_4_07;12.0;BJORN3TRI3_SCALE;2023-05-15;4;7
0;ADN770;BJORN3TRI3_SCALE_2023-05-15_5_08;51.0;BJORN3TRI3_SCALE;2023-05-15;5;8
0;ADN181;BJORN3TRI3_SCALE_2023-05-15_15_12;13.0;BJORN3TRI3_SCALE;2023-05-15;15;12
0;ADE600;BJORN3TRI3_SCALE_2023-05-15_21_13;2.0;BJORN3TRI3_SCALE;2023-05-15;21;13
0;ADN770;BJORN3TRI3_SCALE_2023-05-15_5_09;7.0;BJORN3TRI3_SCALE;2023-05-15;5;9
0;ADE036;BJORN3TRI3_SCALE_2023-05-16_16_08;2.0;BJORN3TRI3_SCALE;2023-05-16;16;8
0;ADE009;BJORN3TRI3_SCALE_2023-05-16_3_07;1.0;BJORN3TRI3_SCALE;2023-05-16;3;7
0;ADN181;BJORN3TRI3_SCALE_2023-05-17_14_01;10.0;BJORN3TRI3_SCALE;2023-05-17;14;1
0;ADN907;BJORN3TRI3_SCALE_2023-05-18_21_03;6.0;BJORN3TRI3_SCALE;2023-05-18;21;3
0;ADN907;BJORN3TRI3_SCALE_2023-05-18_21_02;7.0;BJORN3TRI3_SCALE;2023-05-18;21;2
0;ADN907;BJORN3TRI3_SCALE_2023-05-20_20_01;17.0;BJORN3TRI3_SCALE;2023-05-20;20;1
0;ADN907;BJORN3TRI3_SCALE_2023-05-20_20_00;3.0;BJORN3TRI3_SCALE;2023-05-20;20;0
0;ADE028;BJORN3TRI3_SCALE_2023-05-21_18_00;26.0;BJORN3TRI3_SCALE;2023-05-21;18;0
0;ADE036;BJORN3TRI3_SCALE_2023-05-22_21_04;5.0;BJORN3TRI3_SCALE;2023-05-22;21;4
0;ADE028;BJORN3TRI3_SCALE_2023-05-22_4_01;27.0;BJORN3TRI3_SCALE;2023-05-22;4;1
0;ADE020;BJORN3TRI3_SCALE_2023-05-23_15_03;3.0;BJORN3TRI3_SCALE;2023-05-23;15;3
0;ADP181;BJORN3TRI3_SCALE_2023-05-23_14_02;4.0;BJORN3TRI3_SCALE;2023-05-23;14;2
0;ADN181;BJORN3TRI3_SCALE_2023-05-24_10_17;45.0;BJORN3TRI3_SCALE;2023-05-24;10;17
0;ADN181;BJORN3TRI3_SCALE_2023-05-24_8_13;44.0;BJORN3TRI3_SCALE;2023-05-24;8;13
0;ADN181;BJORN3TRI3_SCALE_2023-05-24_9_15;4.0;BJORN3TRI3_SCALE;2023-05-24;9;15
0;ADN181;BJORN3TRI3_SCALE_2023-05-24_8_12;10.0;BJORN3TRI3_SCALE;2023-05-24;8;12
0;ADN181;BJORN3TRI3_SCALE_2023-05-24_12_18;9.0;BJORN3TRI3_SCALE;2023-05-24;12;18
0;ADN181;BJORN3TRI3_SCALE_2023-05-24_10_16;41.0;BJORN3TRI3_SCALE;2023-05-24;10;16
0;ADN181;BJORN3TRI3_SCALE_2023-05-25_12_18;34.0;BJORN3TRI3_SCALE;2023-05-25;12;18
0;ADN181;BJORN3TRI3_SCALE_2023-05-25_8_15;7.0;BJORN3TRI3_SCALE;2023-05-25;8;15
0;ADN181;BJORN3TRI3_SCALE_2023-05-25_11_17;23.0;BJORN3TRI3_SCALE;2023-05-25;11;17
0;ADP574;BJORN3TRI3_SCALE_2023-05-26_19_08;12.0;BJORN3TRI3_SCALE;2023-05-26;19;8
0;ADN181;BJORN3TRI3_SCALE_2023-05-26_13_04;22.0;BJORN3TRI3_SCALE;2023-05-26;13;4
0;ADP574;BJORN3TRI3_SCALE_2023-05-26_19_07;18.0;BJORN3TRI3_SCALE;2023-05-26;19;7
0;ADP574;BJORN3TRI3_SCALE_2023-05-26_18_05;14.0;BJORN3TRI3_SCALE;2023-05-26;18;5
0;ADN181;BJORN3TRI3_SCALE_2023-05-26_12_03;44.0;BJORN3TRI3_SCALE;2023-05-26;12;3
0;ADN181;BJORN3TRI3_SCALE_2023-05-26_11_02;45.0;BJORN3TRI3_SCALE;2023-05-26;11;2
0;ADE028;BJORN3TRI3_SCALE_2023-05-26_18_06;9.0;BJORN3TRI3_SCALE;2023-05-26;18;6
0;ADN181;BJORN3TRI3_SCALE_2023-05-27_13_21;98.0;BJORN3TRI3_SCALE;2023-05-27;13;21
0;ADN181;BJORN3TRI3_SCALE_2023-05-27_19_36;1.0;BJORN3TRI3_SCALE;2023-05-27;19;36
0;ADN181;BJORN3TRI3_SCALE_2023-05-27_10_08;12.0;BJORN3TRI3_SCALE;2023-05-27;10;8
0;ADN181;BJORN3TRI3_SCALE_2023-05-27_11_12;14.0;BJORN3TRI3_SCALE;2023-05-27;11;12
0;ADN181;BJORN3TRI3_SCALE_2023-05-27_11_15;10.0;BJORN3TRI3_SCALE;2023-05-27;11;15
0;ADN181;BJORN3TRI3_SCALE_2023-05-27_12_18;38.0;BJORN3TRI3_SCALE;2023-05-27;12;18
0;ADN181;BJORN3TRI3_SCALE_2023-05-27_18_31;2.0;BJORN3TRI3_SCALE;2023-05-27;18;31
